Test File,len(A),len(B),Runtime (seconds)
tests/test1.in,25,25,0.00010395050048828125
tests/test2.in,50,50,0.00032210350036621094
tests/test3.in,75,75,0.0007138252258300781
tests/test4.in,100,100,0.001260995864868164
tests/test5.in,125,125,0.0019600391387939453
tests/test6.in,150,150,0.0028562545776367188
tests/test7.in,175,175,0.003876209259033203
tests/test8.in,200,200,0.005123615264892578
tests/test9.in,225,225,0.007184028625488281
tests/test10.in,250,250,0.007730960845947266
